,home_loc,school_loc,home_latlng,school_latlng,home_lat,home_lng,school_lat,school_lng
45,"Channelview, TX ","Tuscaloosa, Alabama","[29.7760599, -95.11465330000001]","[33.2098407, -87.56917349999999]",29.7760599,-95.1146533,33.2098407,-87.5691735
46,"Lake Stevens, WA ","Athens, Georgia","[48.01509799999999, -122.0637425]","[33.9519347, -83.357567]",48.015098,-122.0637425,33.9519347,-83.357567
47,"Bowman, GA ","Athens, Georgia","[34.2048295, -83.0307002]","[33.9519347, -83.357567]",34.2048295,-83.0307002,33.9519347,-83.357567
48,"Bradenton, FL ","Athens, Georgia","[27.4989278, -82.5748194]","[33.9519347, -83.357567]",27.4989278,-82.5748194,33.9519347,-83.357567
49,"Jackson, GA ","Athens, Georgia","[33.2945651, -83.96602089999999]","[33.9519347, -83.357567]",33.2945651,-83.9660209,33.9519347,-83.357567
50,"College Park, GA ","Athens, Georgia","[33.6534427, -84.4493725]","[33.9519347, -83.357567]",33.6534427,-84.4493725,33.9519347,-83.357567
51,"Toccoa, GA ","Athens, Georgia","[34.5773206, -83.3323851]","[33.9519347, -83.357567]",34.5773206,-83.3323851,33.9519347,-83.357567
52,"Homerville, GA ","Athens, Georgia","[31.0365983, -82.74708489999999]","[33.9519347, -83.357567]",31.0365983,-82.7470849,33.9519347,-83.357567
53,"Powder Springs, GA ","Athens, Georgia","[33.8595491, -84.683824]","[33.9519347, -83.357567]",33.8595491,-84.683824,33.9519347,-83.357567
54,"Deerfield Beach, FL ","Athens, Georgia","[26.3184123, -80.09976569999999]","[33.9519347, -83.357567]",26.3184123,-80.0997657,33.9519347,-83.357567
55,"Savannah, GA ","Berkeley, California","[32.0835407, -81.09983419999999]","[37.8715926, -122.272747]",32.0835407,-81.0998342,37.8715926,-122.272747
56,"Thousand Oaks, CA ","Berkeley, California","[34.1705609, -118.8375937]","[37.8715926, -122.272747]",34.1705609,-118.8375937,37.8715926,-122.272747
57,"Lancaster, CA ","Berkeley, California","[34.6867846, -118.1541632]","[37.8715926, -122.272747]",34.6867846,-118.1541632,37.8715926,-122.272747
58,"Hattiesburg, MS","Berkeley, California","[31.3271189, -89.29033919999999]","[37.8715926, -122.272747]",31.3271189,-89.2903392,37.8715926,-122.272747
59,"Chattanooga, TN ","Berkeley, California","[35.0456297, -85.3096801]","[37.8715926, -122.272747]",35.0456297,-85.3096801,37.8715926,-122.272747
60,"Torrance, CA ","Los Angeles, California","[33.8358492, -118.3406288]","[34.0522342, -118.2436849]",33.8358492,-118.3406288,34.0522342,-118.2436849
61,"Westlake Village, CA ","Los Angeles, California","[34.1466467, -118.8073729]","[34.0522342, -118.2436849]",34.1466467,-118.8073729,34.0522342,-118.2436849
62,"Fontana, CA ","Los Angeles, California","[34.0922335, -117.435048]","[34.0522342, -118.2436849]",34.0922335,-117.435048,34.0522342,-118.2436849
63,"Gardena, CA ","Los Angeles, California","[33.8883487, -118.3089624]","[34.0522342, -118.2436849]",33.8883487,-118.3089624,34.0522342,-118.2436849
64,"Concord, CA ","Los Angeles, California","[37.9779776, -122.0310733]","[34.0522342, -118.2436849]",37.9779776,-122.0310733,34.0522342,-118.2436849
65,"Los Angeles, CA ","Los Angeles, California","[34.0522342, -118.2436849]","[34.0522342, -118.2436849]",34.0522342,-118.2436849,34.0522342,-118.2436849
66,"Bakersfield, CA ","Los Angeles, California","[35.3732921, -119.0187125]","[34.0522342, -118.2436849]",35.3732921,-119.0187125,34.0522342,-118.2436849
67,"Fresno, CA ","Los Angeles, California","[36.7468422, -119.7725868]","[34.0522342, -118.2436849]",36.7468422,-119.7725868,34.0522342,-118.2436849
68,"West Hills, CA ","Los Angeles, California","[34.1973122, -118.6439809]","[34.0522342, -118.2436849]",34.1973122,-118.6439809,34.0522342,-118.2436849
69,"Rancho Santa Margarita, CA ","Los Angeles, California","[33.640855, -117.603104]","[34.0522342, -118.2436849]",33.640855,-117.603104,34.0522342,-118.2436849
70,"Virginia Beach, VA ","Tallahassee, Florida","[36.8529263, -75.97798499999999]","[30.4382559, -84.28073289999999]",36.8529263,-75.977985,30.4382559,-84.2807329
71,"Long Beach, CA","Tallahassee, Florida","[33.7700504, -118.1937395]","[30.4382559, -84.28073289999999]",33.7700504,-118.1937395,30.4382559,-84.2807329
